"COUNTRY","Country","VARIABLE","Variable","UNIT","Unit","MEASURE","Measure","TIME","Time","Value","Flag Codes","Flags"
"CAB","Alberta (Canada)","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",4.0999999,,
"CAB","Alberta (Canada)","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","VAL","Value","2018","2018",26.299999,,
"CAB","Alberta (Canada)","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",87.300003,,
"CAB","Alberta (Canada)","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",56.400002,,
"CAB","Alberta (Canada)","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","VAL","Value","2018","2018",87.199997,,
"CAB","Alberta (Canada)","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.72493094,,
"CAB","Alberta (Canada)","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.9861491,,
"CAB","Alberta (Canada)","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.2200459,,
"CAB","Alberta (Canada)","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",2.7222674,,
"CAB","Alberta (Canada)","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.9850138,,
"AUS","Australia","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",5.4000001,,
"AUS","Australia","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","VAL","Value","2018","2018",29,,
"AUS","Australia","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",83.599998,,
"AUS","Australia","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",45.200001,,
"AUS","Australia","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","VAL","Value","2018","2018",82.400002,,
"AUS","Australia","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.44183376,,
"AUS","Australia","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.227089,,
"AUS","Australia","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.83685225,,
"AUS","Australia","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.99390554,,
"AUS","Australia","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.0500087,,
"AUT","Austria","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",16.799999,,
"AUT","Austria","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","VAL","Value","2018","2018",26.6,,
"AUT","Austria","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",53.900002,,
"AUT","Austria","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",21.1,,
"AUT","Austria","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","VAL","Value","2018","2018",87.599998,,
"AUT","Austria","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.72136086,,
"AUT","Austria","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.89347905,,
"AUT","Austria","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.86379802,,
"AUT","Austria","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.74040437,,
"AUT","Austria","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.66831595,,
"BEL","Belgium","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",9.6999998,,
"BEL","Belgium","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","VAL","Value","2018","2018",42.099998,,
"BEL","Belgium","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",73.400002,,
"BEL","Belgium","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",37.400002,,
"BEL","Belgium","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","VAL","Value","2018","2018",85,,
"BEL","Belgium","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.5140084,,
"BEL","Belgium","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.95246142,,
"BEL","Belgium","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.64028156,,
"BEL","Belgium","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.82024086,,
"BEL","Belgium","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.55671394,,
"BEL-BFL","Flemish Community of Belgium","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",8,,
"BEL-BFL","Flemish Community of Belgium","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","VAL","Value","2018","2018",40.799999,,
"BEL-BFL","Flemish Community of Belgium","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",76.900002,,
"BEL-BFL","Flemish Community of Belgium","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",42.700001,,
"BEL-BFL","Flemish Community of Belgium","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","VAL","Value","2018","2018",93.400002,,
"BEL-BFL","Flemish Community of Belgium","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.71336859,,
"BEL-BFL","Flemish Community of Belgium","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.2593734,,
"BEL-BFL","Flemish Community of Belgium","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.89084107,,
"BEL-BFL","Flemish Community of Belgium","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.9892422,,
"BEL-BFL","Flemish Community of Belgium","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.51199371,,
"BEL-BFR","French Community of Belgium","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",11.7,,
"BEL-BFR","French Community of Belgium","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","VAL","Value","2018","2018",43.599998,,
"BEL-BFR","French Community of Belgium","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",69.300003,,
"BEL-BFR","French Community of Belgium","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",31,,
"BEL-BFR","French Community of Belgium","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","VAL","Value","2018","2018",75.400002,,
"BEL-BFR","French Community of Belgium","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.79547334,,
"BEL-BFR","French Community of Belgium","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.4102254,,
"BEL-BFR","French Community of Belgium","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.1350847,,
"BEL-BFR","French Community of Belgium","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.1293167,,
"BEL-BFR","French Community of Belgium","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.94666409,,
"BRA","Brazil","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",18.6,,
"BRA","Brazil","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","VAL","Value","2018","2018",50.099998,,
"BRA","Brazil","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",75,,
"BRA","Brazil","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",83.099998,,
"BRA","Brazil","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","VAL","Value","2018","2018",91.400002,,
"BRA","Brazil","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.0026296,,
"BRA","Brazil","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.7208397,,
"BRA","Brazil","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.1493872,,
"BRA","Brazil","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.98497778,,
"BRA","Brazil","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.69621301,,
"BGR","Bulgaria","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",21.799999,,
"BGR","Bulgaria","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","VAL","Value","2018","2018",32.299999,,
"BGR","Bulgaria","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",50.400002,,
"BGR","Bulgaria","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",46.299999,,
"BGR","Bulgaria","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","VAL","Value","2018","2018",84.900002,,
"BGR","Bulgaria","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.0089766,,
"BGR","Bulgaria","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.5130113,,
"BGR","Bulgaria","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.2492536,,
"BGR","Bulgaria","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.4272474,,
"BGR","Bulgaria","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.94383305,,
"BAA","CABA (Argentina)","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",9.1000004,,
"BAA","CABA (Argentina)","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","VAL","Value","2018","2018",35,,
"BAA","CABA (Argentina)","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",66.099998,,
"BAA","CABA (Argentina)","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",65.199997,,
"BAA","CABA (Argentina)","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","VAL","Value","2018","2018",90.099998,,
"BAA","CABA (Argentina)","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.97755784,,
"BAA","CABA (Argentina)","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.2188629,,
"BAA","CABA (Argentina)","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.341067,,
"BAA","CABA (Argentina)","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.50976,,
"BAA","CABA (Argentina)","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.83154547,,
"CHL","Chile","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",16.9,,
"CHL","Chile","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","VAL","Value","2018","2018",39.900002,,
"CHL","Chile","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",76,,
"CHL","Chile","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",65.5,,
"CHL","Chile","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","VAL","Value","2018","2018",86.300003,,
"CHL","Chile","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.86710507,,
"CHL","Chile","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.6970166,,
"CHL","Chile","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.0866635,,
"CHL","Chile","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.333925,,
"CHL","Chile","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.69333977,,
"COL","Colombia","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",20.5,,
"COL","Colombia","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","VAL","Value","2018","2018",22.4,,
"COL","Colombia","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",83.900002,,
"COL","Colombia","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",77.300003,,
"COL","Colombia","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","VAL","Value","2018","2018",97.5,,
"COL","Colombia","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.1072904,,
"COL","Colombia","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.4942126,,
"COL","Colombia","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.3747355,,
"COL","Colombia","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.432524,,
"COL","Colombia","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.53087795,,
"HRV","Croatia","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",22.9,,
"HRV","Croatia","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","VAL","Value","2018","2018",17.299999,,
"HRV","Croatia","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","VAL","Value","2018","2018",54.5,,
"HRV","Croatia","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","VAL","Value","2018","2018",38.200001,,
"HRV","Croatia","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","VAL","Value","2018","2018",81.900002,,
"HRV","Croatia","12_T053","Teachers reporting a high level of need for professional development in student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.88614583,,
"HRV","Croatia","12_T054","Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.1981034,,
"HRV","Croatia","12_T055","Teachers for whom 'student behaviour and classroom management' was included in their formal education or training","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.1192961,,
"HRV","Croatia","12_T056","Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.0879173,,
"HRV","Croatia","12_T058","Teachers who feel that they can control disruptive behaviour in the classroom","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.0354714,,
